Sample,sobs,ace,chao,shannon,simpson
SCI_7d_3_Co,7052,7052,7052,4.70957,0.03309
SCI_1h_5_Co,7022,7022,7022,3.76078,0.08266
SCI_14d_3_Ce,8820,8820,8820,4.97107,0.02373
SCI_0min_4_Ce,7049,7049,7049,4.80376,0.03018
SCI_5d_6_Co,8445,8445,8445,4.92075,0.02321
SCI_1m_3_Co,7316,7316,7316,3.60918,0.07749
SCI_3m_6_Il,5425,5425,5425,3.56032,0.08367
SCI_3d_4_Co,8193,8193,8193,4.69641,0.03195
SCI_6h_6_Il,2306,2306,2306,3.13252,0.09456
Con_6_Co,8363,8363,8363,4.23597,0.07828
Con_4_Il,3093,3093,3093,2.11335,0.25129
SCI_3m_4_Il,6415,6415,6415,2.7222,0.216
SCI_3d_2_Co,8732,8732,8732,4.92052,0.02293
SCI_1h_4_Co,7813,7813,7813,4.08859,0.07379
Sham_1_Co,6792,6792,6792,4.60015,0.04081
SCI_3m_3_Co,8829,8829,8829,4.68274,0.02956
SCI_1m_2_Ce,7222,7222,7222,4.33142,0.07722
SCI_14d_4_Co,8904,8904,8904,4.27835,0.07585
SCI_14d_1_Co,7985,7985,7985,3.94677,0.10692
SCI_3m_6_Co,8594,8594,8594,4.44502,0.03871
SCI_7d_2_Il,6688,6688,6688,4.14172,0.07016
SCI_6h_5_Co,8810,8810,8810,5.05363,0.01968
Sham_2_Ce,8912,8912,8912,5.01561,0.02156
SCI_3m_6_Ce,8752,8752,8752,4.71064,0.02814
SCI_6h_6_Co,7940,7940,7940,3.96665,0.07327
SCI_3d_6_Il,2398,2398,2398,1.58588,0.56097
SCI_2m_2_Co,8945,8945,8945,3.79459,0.09749
SCI_30min_2_Ce,6212,6212,6212,4.73753,0.03497
SCI_30min_6_Ce,8364,8364,8364,4.79078,0.02916
SCI_12h_1_Co,8427,8427,8427,4.65894,0.03037
Sham_4_Co,8988,8988,8988,4.9281,0.02384
SCI_3d_1_Il,751,751,751,1.34659,0.61762
Con_3_Il,6090,6090,6090,2.49284,0.25649
SCI_3m_2_Il,6757,6757,6757,2.78744,0.19364
SCI_14d_3_Co,8728,8728,8728,4.17778,0.09373
SCI_1h_3_Co,7795,7795,7795,4.62122,0.03036
SCI_1m_2_Co,7697,7697,7697,4.40877,0.03605
SCI_1m_6_Ce,7816,7816,7816,4.46923,0.03183
SCI_14d_1_Ce,8161,8161,8161,5.01326,0.02594
SCI_5d_6_Ce,8414,8414,8414,4.85205,0.02748
Sham_4_Ce,8957,8957,8957,4.93926,0.02643
SCI_3d_3_Co,7981,7981,7981,4.65475,0.05489
SCI_1h_1_Il,4869,4869,4869,2.01144,0.35944
SCI_5d_2_Co,8980,8980,8980,4.73983,0.03659
Sham_2_Il,5221,5221,5221,3.14097,0.14681
SCI_30min_5_Ce,6436,6436,6436,4.65046,0.02935
SCI_30min_1_Co,8864,8864,8864,4.84335,0.02876
SCI_1h_4_Ce,8218,8218,8218,4.60256,0.03871
SCI_7d_2_Co,7299,7299,7299,3.24176,0.14903
SCI_30min_6_Co,8317,8317,8317,4.75579,0.02914
SCI_2m_1_Co,6701,6701,6701,4.20713,0.09479
SCI_1h_6_Co,9053,9053,9053,5.05838,0.0223
SCI_6h_1_Ce,8597,8597,8597,4.9975,0.0198
Con_2_Il,5403,5403,5403,2.50555,0.30757
SCI_2m_2_Ce,8399,8399,8399,4.80818,0.02774
Sham_6_Ce,8630,8630,8630,4.9203,0.02769
SCI_1d_2_Ce,9251,9251,9251,5.13295,0.01968
SCI_1m_4_Il,6167,6167,6167,2.36044,0.32822
SCI_0min_2_Ce,8206,8206,8206,4.48342,0.04177
SCI_5d_1_Ce,8457,8457,8457,5.02213,0.02165
SCI_1h_3_Il,2965,2965,2965,2.9279,0.16043
SCI_1h_2_Ce,6762,6762,6762,4.75297,0.03158
Con_3_Co,8643,8643,8643,4.61776,0.04088
Con_6_Ce,8936,8936,8936,4.92014,0.02431
SCI_3m_1_Ce,8500,8500,8500,4.4453,0.05317
SCI_3m_1_Il,6234,6234,6234,2.8717,0.1718
SCI_3d_3_Il,1864,1864,1864,0.719,0.78531
Sham_3_Ce,8545,8545,8545,4.90397,0.02536
SCI_7d_1_Il,7056,7056,7056,3.58109,0.10238
SCI_3d_6_Co,8533,8533,8533,4.99352,0.02245
Sham_5_Ce,8874,8874,8874,5.03895,0.01899
SCI_5d_2_Il,6377,6377,6377,3.7248,0.06213
SCI_12h_5_Co,7705,7705,7705,4.40976,0.04704
SCI_3m_3_Ce,8482,8482,8482,4.91877,0.02641
Con_2_Ce,9009,9009,9009,4.93489,0.02338
SCI_14d_6_Co,7490,7490,7490,3.16815,0.20756
SCI_7d_5_Co,6916,6916,6916,4.082,0.06089
SCI_1d_2_Il,1415,1415,1415,1.76526,0.35782
SCI_3m_3_Il,6195,6195,6195,3.98507,0.05677
SCI_1d_6_Il,3248,3248,3248,1.45076,0.62908
SCI_1m_2_Il,5484,5484,5484,2.90307,0.14856
SCI_1h_6_Ce,8480,8480,8480,4.96832,0.02753
SCI_14d_1_Il,5934,5934,5934,1.44174,0.63405
SCI_6h_4_Co,7857,7857,7857,4.27715,0.0559
SCI_7d_6_Il,6920,6920,6920,3.62666,0.09881
SCI_3m_5_Il,5016,5016,5016,3.43481,0.12661
SCI_14d_4_Il,6621,6621,6621,3.35097,0.24487
SCI_3d_5_Il,960,960,960,3.14168,0.12101
SCI_30min_2_Co,6386,6386,6386,4.43459,0.04017
SCI_1h_1_Ce,7516,7516,7516,4.26675,0.06197
SCI_3m_4_Ce,9141,9141,9141,4.95622,0.02172
SCI_6h_5_Ce,8827,8827,8827,5.07659,0.01914
Con_2_Co,9002,9002,9002,4.84448,0.02885
SCI_30min_4_Il,3587,3587,3587,1.96757,0.40862
SCI_30min_3_Il,4218,4218,4218,1.75949,0.40026
SCI_3d_1_Co,8303,8303,8303,4.74455,0.02999
SCI_2m_1_Ce,5914,5914,5914,4.55301,0.05309
SCI_1d_5_Il,1893,1893,1893,1.40229,0.39591
SCI_1m_1_Ce,7356,7356,7356,3.72143,0.11825
SCI_5d_2_Ce,8264,8264,8264,5.04091,0.02106
SCI_14d_2_Il,7032,7032,7032,2.52194,0.41363
Con_5_Il,4936,4936,4936,2.55169,0.19386
SCI_5d_4_Ce,8391,8391,8391,5.16976,0.01889
SCI_2m_3_Co,8644,8644,8644,4.74667,0.03627
SCI_3d_2_Ce,8528,8528,8528,5.0247,0.02392
SCI_0min_2_Co,8352,8352,8352,4.52363,0.04911
SCI_1d_3_Co,8052,8052,8052,4.68173,0.02859
SCI_1h_6_Il,4706,4706,4706,1.12357,0.69222
SCI_7d_2_Ce,7174,7174,7174,4.71504,0.02916
SCI_12h_3_Il,1604,1604,1604,1.32635,0.45527
Con_5_Ce,8490,8490,8490,4.8522,0.02464
Sham_6_Co,8853,8853,8853,4.95086,0.02401
SCI_1d_1_Ce,8691,8691,8691,4.83407,0.02505
SCI_6h_2_Co,7593,7593,7593,4.19263,0.0563
SCI_12h_3_Ce,8889,8889,8889,5.0845,0.01973
SCI_6h_3_Co,6189,6189,6189,4.32441,0.04258
SCI_0min_6_Co,8314,8314,8314,4.25953,0.05615
SCI_1m_3_Ce,6806,6806,6806,3.03771,0.17446
SCI_1d_4_Ce,8721,8721,8721,5.11525,0.01992
SCI_1h_2_Il,2490,2490,2490,3.08312,0.12311
SCI_6h_6_Ce,8061,8061,8061,4.75963,0.02545
SCI_1d_6_Co,7343,7343,7343,2.68361,0.29143
SCI_12h_4_Ce,8899,8899,8899,5.08486,0.01975
SCI_0min_5_Ce,8449,8449,8449,4.31868,0.05324
SCI_0min_5_Il,3563,3563,3563,2.74219,0.18303
SCI_2m_4_Co,7928,7928,7928,3.16761,0.16865
SCI_2m_6_Co,9431,9431,9431,3.93853,0.10253
SCI_1d_5_Ce,8388,8388,8388,4.28138,0.07467
SCI_7d_4_Il,4560,4560,4560,4.32851,0.05302
SCI_5d_5_Co,6367,6367,6367,4.72302,0.02478
SCI_3d_6_Ce,8327,8327,8327,5.00896,0.02713
SCI_3m_2_Ce,8604,8604,8604,4.747,0.0304
SCI_5d_4_Co,8391,8391,8391,5.14834,0.01948
SCI_6h_1_Il,3424,3424,3424,3.24454,0.11988
SCI_1m_3_Il,5156,5156,5156,2.49813,0.22648
SCI_2m_5_Co,7674,7674,7674,3.24038,0.13312
SCI_14d_4_Ce,7822,7822,7822,4.92619,0.02637
SCI_2m_4_Il,5593,5593,5593,2.53285,0.22041
SCI_1h_4_Il,5196,5196,5196,2.08292,0.34505
SCI_12h_2_Ce,7837,7837,7837,4.96715,0.02297
SCI_14d_6_Il,4527,4527,4527,2.86914,0.16959
SCI_2m_2_Il,4038,4038,4038,1.99162,0.2347
SCI_1m_6_Co,7158,7158,7158,3.43064,0.08733
Sham_1_Il,4365,4365,4365,3.86323,0.06803
Con_4_Ce,8261,8261,8261,4.90872,0.02168
SCI_0min_3_Ce,7744,7744,7744,4.35758,0.05106
SCI_30min_6_Il,3739,3739,3739,2.65868,0.17483
SCI_1d_3_Il,4027,4027,4027,2.2323,0.23073
SCI_14d_6_Ce,7671,7671,7671,4.78778,0.03523
SCI_1d_1_Il,3234,3234,3234,0.85876,0.76349
SCI_14d_5_Co,7678,7678,7678,3.83649,0.07077
SCI_12h_5_Il,1492,1492,1492,1.18326,0.54159
SCI_7d_3_Ce,7363,7363,7363,4.98743,0.02256
SCI_6h_3_Il,3991,3991,3991,2.53376,0.21006
SCI_5d_3_Ce,8088,8088,8088,4.80818,0.03176
SCI_0min_6_Il,6002,6002,6002,2.48295,0.18747
SCI_1d_1_Co,8444,8444,8444,4.54405,0.03841
SCI_2m_4_Ce,7879,7879,7879,4.57974,0.04172
SCI_6h_1_Co,8379,8379,8379,4.92667,0.02262
SCI_1d_3_Ce,7728,7728,7728,5.03002,0.02025
SCI_7d_1_Co,7289,7289,7289,4.31075,0.04426
SCI_12h_6_Il,1745,1745,1745,1.13141,0.60398
SCI_5d_1_Il,2016,2016,2016,4.84963,0.03524
Con_1_Co,8075,8075,8075,5.01665,0.02439
Sham_2_Co,8607,8607,8607,5.02577,0.02353
SCI_7d_3_Il,5323,5323,5323,3.93929,0.07349
SCI_5d_5_Il,5259,5259,5259,4.80312,0.02731
SCI_6h_2_Il,2817,2817,2817,2.98935,0.11755
SCI_7d_4_Co,8189,8189,8189,4.63185,0.03201
SCI_3m_1_Co,6884,6884,6884,3.51202,0.12231
SCI_7d_5_Ce,7659,7659,7659,4.71708,0.03696
